Rank,Dutch,English
289,anders,else
290,rust uit,rest
291,geld,money
292,feit,fact
294,schrijven,to write
295,brand,fire
296,tweede,second
297,te blijven,to stay
298,zich afvragen,to wonder
299,geval,case
300,verhaal,story
301,lijn,line
302,groeien,to grow
303,lucht,air
304,wensen,to wish
305,gedachte,thought
306,opstaan,to rise
307,minst,least
308,vol,full
309,vangen,to catch
310,leiden,to lead
311,groot,large
312,verschijnen,to appear
313,alles,everything
314,zorgen,to care
315,dragen,to carry
316,dood,death
317,slapen,to sleep
318,vermoorden,to kill
319,idee,idea
320,antwoorden,to reply
322,muur,wall
323,rijden,to drive
324,in de buurt,near
325,tekenen,to draw
326,schouder,shoulder
327,Verleden,past
328,dood,dead
329,vroeg,early
330,staren,to stare
331,alleen,alone
332,zin,sense
333,mond,mouth
334,liever,rather
335,dragen,to bear
336,vier,four
337,doorgaan,to continue
338,boom,tree
339,broer,brother
340,reden,reason
341,paard,horse
342,anderen,others
343,bestellen,order
344,vijf,five
345,aanraken,to touch
346,ronde,round
347,diep,deep
348,brief,letter
349,Missen,Miss
350,veronderstellen,to suppose
351,dwingen,force
352,stad-,town
353,eten,to eat
354,duidelijk,clear
355,trouwen,to marry
356,gooien,to throw
357,land,country
358,aanwezig,present
359,binnen,inside
360,verdieping,floor
361,betalen,to pay
362,knikken,to nod
363,vinger,finger
364,blijven,to remain
365,scheur,tear
366,straat,street
367,dame,lady
368,minder,less
369,angst,fear
370,iemand,someone
371,bedrijf,business
372,in staat,able
373,stoel,chair
374,vergeten,to forget
375,kiezen,to pick
376,verwachten,to expect
377,rood,red
378,macht,power
379,een blik te werpen,to glance
380,misschien,perhaps
381,kort,short
382,grond,ground
383,lip-,lip
384,echt,real
385,kleden,to dress
386,maand,month
387,luisteren,to listen
388,laat,late
389,school-,school
390,een van beide,either
391,wie,whom
392,laag,low
393,tussen,among
394,man,husband
395,toevoegen,to add
396,verschillend,different
397,laten vallen,to drop
398,drinken,to drink
399,leren,to learn
400,plotseling,suddenly
401,papier,paper
402,land-,land
403,soort,sort
404,vaak,often
405,avond,evening
406,bovenstaande,above
407,honderd,hundred
408,beslissen,to decide
409,opmerken,to notice
410,dochter,daughter
411,kantoor,office
412,koude,cold
413,figuur,figure
414,weg,road
415,gevoel,feeling
416,hangen,to hang
417,snijden,to cut
418,aantal,number
419,fijn,fine
420,stad,city
421,verrassen,to surprise
422,te verhogen,to raise
423,vullen,to fill
424,verscheidene,several
425,wiens,whose
426,arm,poor
427,zeker,certain
428,waarschijnlijk,probably
429,geleden,ago
430,veroorzaken,to cause
431,binnenkomen,to enter
432,klaar,ready
433,blauw,blue
434,binnen,within
435,zich,themselves
436,vooruit,forward
437,zus,sister
438,spenderen,to spend
439,staat,state
440,echter,however
441,vechten,to fight
442,sterk,strong
443,kussen,to kiss
444,gedurende,during
445,beetje,bit
446,plezieren,to please
447,buiten,outside
448,been,leg
449,Geachte,dear
450,gelukkig,happy
451,droom,dream
452,Notitie,note
453,fout,wrong
454,realiseren,to realize
455,interesseren,interest
456,bloed,blood
457,snel,quickly
458,uitleggen,to explain
459,menselijk,human
460,Heer,Lord
461,rijden,to ride
462,bedekken,to cover
463,leunen,to lean
464,toelaten,to allow
465,tien,ten
466,twijfel,doubt
467,twintig,twenty
468,mijnheer,sir
469,mooi,beautiful
470,oorlog,war
471,mooi,pretty
472,langzaam,slowly
473,mogelijk,possible
474,moeite,trouble
475,bezoeken,to visit
476,kans,chance
477,duwen,to push
478,gratis,free
479,adem,breath
480,stuk,piece
481,zon,sun
482,waarheid,truth
483,aankomen,to arrive
484,overwegen,to consider
485,of,whether
486,acteren,to act
487,zelf,itself
488,noch,nor
489,iedereen,anyone
490,teken,sign
491,transactie,deal
492,oversteken,to cross
493,glas,glass
494,baan,job
495,af te maken,to finish
496,fluisteren,to whisper
497,studeren,to study
498,het formulier,form
499,gemakkelijk,easy
500,leeftijd,age
501,afbeelding,picture
502,zes,six
503,Tenslotte,finally
504,kopen,to buy
505,stilte,silence
506,hond,dog
507,liggen,to lay
508,zicht,sight
509,oor,ear
510,aanbieden,to offer
511,schip,ship
512,jezelf,yourself
513,naar,towards
514,zee,sea
515,beloven,to promise
516,opheffen,to lift
517,vliegen,to fly
518,duizend,thousand
519,raden,to guess
520,hoek,corner
521,zich zorgen maken,to worry
522,uitzicht,view
523,probleem,problem
524,naast,beside
525,telefoon,phone
526,aandacht,attention
527,verstoppen,to hide
528,missen,to miss
529,staren,gaze
530,Politie,police
531,opslaan,to save
532,feest,party
533,Engels,English
534,steen,stone
535,Londen,London
536,vreemd,strange
537,bang,afraid
538,pijn,pain
539,Golf,wave
540,keuken-,kitchen
541,het eens zijn,to agree
542,staken,to strike
543,drukken,to press
544,groen,green
545,paar,couple
546,vent,guy
547,Sorry,sorry
548,ervaring,experience
549,tot,till
550,Amerikaans,American
551,kan zijn,maybe
552,stoel,seat
554,inderdaad,indeed
555,blazen,to blow
556,soms,sometimes
557,zwaar,heavy
558,ziel,soul
559,belangrijk,important
560,kind,kid
561,zorgen maken,to concern
562,de mijne,mine
563,positie,position
564,heet,hot
565,voorbij,beyond
566,schreeuwen,to shout
567,onderwerpen,subject
568,diner,dinner
569,controleren,to check
570,geest,spirit
571,middag,afternoon
572,officier,officer
573,stil,quiet
574,verlangen,desire
575,behalve,except
576,aarde,earth
577,inbeelden,to imagine
578,pauzeren,to pause
579,benaderen,to approach
580,nek,neck
581,mijl,mile
582,manier,manner
583,meedoen,to join
584,voedsel,food
585,gebouw,building
586,plakken,to stick
587,rand,edge
588,veld-,field
589,natuur,nature
590,rivier-,river
591,rots,rock
592,geweer,gun
593,vermelden,to mention
594,recht,straight
595,breed,wide
596,bedrijf,company
597,hemel,sky
598,schieten,to shoot
599,hout,wood
600,raken,to hit
601,dansen,to dance
602,menigte,crowd
603,verbranden,to burn
604,kameraad,fellow
605,uitdrukking,expression
606,doos,box
607,controle,control
608,kerk,church
609,zuchten,to sigh
610,iedereen,everyone
611,kiezen,to choose
612,delen,to share
613,aanbevelen,to suggest
614,koning,king
615,ouder,parent
616,leuk,nice
617,uitglijden,to slip
618,bouwen,to build
619,naar,onto
620,bijna,nearly
621,geheugen,memory
622,kleren,clothes
623,verslag doen van,report
624,eenvoudigweg,simply
625,accepteren,to accept
626,genieten,to enjoy
627,huid,skin
628,geheim,secret
630,spel,game
631,gesprek,conversation
632,boot,boat
633,leeg,empty
634,vandaag,today
635,hel,hell
636,serveren,to serve
637,zacht,soft
638,ontsnappen,to escape
639,toon,tone
640,haten,to hate
641,richting,direction
642,poging,attempt
643,hoewel,although
644,groep,group
645,wang,cheek
646,zak-,pocket
647,aankunnen,to manage
648,Ja,yes
649,zoeken,to search
650,ruiken,to smell
651,de lente,spring
652,algemeen,general
653,midden-,middle
654,links,left
655,precies,exactly
656,volgend op,following
657,pijn doen,to hurt
658,in rekening brengen,charge
659,openbaar,public
660,om te vestigen,to settle
661,genoegen,pleasure
662,in plaats daarvan,instead
663,ontdekken,to discover
664,heer,gentleman
665,goud,gold
666,wat dan ook,whatever
667,nieuws,news
668,knie,knee
669,helder,bright
670,per direct,immediately
671,blij,glad
672,verslaan,to beat
673,snel,fast
674,werkelijk,actually
675,afstand,distance
676,ontvangen,to receive
677,plek,spot
678,tafereel,scene
679,eisen,to demand
680,toegeven,to admit
681,trein,train
682,klasse,class
683,dier,animal
684,bureau,desk
685,hal,hall
686,borst,chest
687,meester,master
688,koffie,coffee
689,vertrouwen,to trust
690,bewaker,guard
691,stil,silent
692,schaduw,shadow
693,zingen,to sing
694,zak,bag
695,bewijzen,to prove
696,Frans,French
697,lang,tall
698,onder,beneath
699,zoeken,to seek
700,geen,none
701,haasten,to rush
702,berg-,mountain
703,voorbereiden,to prepare
704,soldaat,soldier
705,nauwelijks,hardly
706,grijnzen,to grin
707,geschiedenis,history
708,schoon,clean
710,huwelijk,marriage
711,actie,action
712,dorp,village
713,lid,member
714,toekomst,future
715,heuvel,hill
716,vooral,especially
717,tuin-,garden
718,zoet,sweet
719,regen,rain
720,karakter,character
721,reizen,to travel
722,aanval,attack
723,sluiten,to shut
724,rook,smoke
725,veilig,safe
726,ruimte,space
727,Gebied,area
728,beneden,below
729,situatie,situation
730,te beoordelen,to regard
731,weigeren,to refuse
732,dertig,thirty
733,droog,dry
734,springen,to jump
735,herhalen,to repeat
736,op slot doen,to lock
737,Engeland,England
738,kunst,art
739,verder,ahead
740,derde,third
741,snel,quick
742,overhemd,shirt
743,winnen,to win
744,neus-,nose
745,zomer,summer
746,keel,throat
747,inspanning,effort
748,eenvoudig,simple
749,termijn,term
750,leren,to teach
751,langzaam,slow
752,plicht,duty
753,muziek-,music
754,Indiaas,Indian
755,evenement,event
756,bloem,flower
757,markeren,to mark
758,vogel,bird
759,verzamelen,to gather
760,Dhr,Mr
761,rechtbank,court
762,vergadering,meeting
763,schreeuwen,to scream
764,hoed,hat
765,falen,to fail
766,klimmen,to climb
767,moord,murder
768,passen,to fit
769,geen van beide,neither
770,dun,thin
771,resultaat,result
772,haasten,to hurry
773,compleet,complete
774,tand,tooth
775,vastbinden,to tie
776,doel,purpose
777,pagina,page
778,dus,thus
779,pak,suit
780,vijand,enemy
781,eeuw,century
782,moeite hebben met,to struggle
783,gebruikelijk,usual
784,voorwerp,object
785,wakker worden,to wake
786,rijk,rich
787,opeisen,to claim
788,eerlijk,fair
789,gemeenschappelijk,common
790,sterkte,strength
791,dik,thick
792,spul,stuff
793,eerbied,respect
794,adresseren,to address
795,leven,living
796,zeven,seven
797,herkennen,to recognize
798,te behoren,to ought
799,ondersteunen,to support
800,werf,yard
801,pakken,to grab
802,bruin,brown
803,commando,command
804,aanwezigheid,presence
805,omschrijven,to describe
806,jas,coat
807,noodzakelijk,necessary
808,zinken,to sink
809,uitrekken,to stretch
810,lijden,to suffer
811,plotseling,sudden
812,verdwijnen,to disappear
813,acht,eight
814,pad,path
815,bijzonder,particular
816,verspreiden,to spread
817,duisternis,darkness
818,trap,stair
819,bedanken,to thank
820,beweging,movement
821,moeilijk,difficult
822,winkel,shop
823,verbleken,pale
824,toebehoren,to belong
825,taal,language
826,speciaal,special
827,ernstig,serious
828,herinneren,to remind
829,voorzien,to provide
830,smal,narrow
831,staat,condition
832,buigen,to bend
834,fles,bottle
835,levend,alive
836,sleutel,key
837,schommelen,to swing
838,luidruchtig,loud
839,zachtjes,quietly
840,vergissing,mistake
841,observeren,to observe
842,opmerken,to remark
843,schoonheid,beauty
844,voorzichtig,carefully
845,poort,gate
846,kloppen,to knock
847,glijden,to slide
848,bewust,aware
849,verwijderen,to remove
850,helemaal,completely
851,durven,to dare
852,knecht,servant
853,buigen,to bow
854,cirkel,circle
855,thee,tea
856,boos,angry
857,persoonlijk,personal
858,wolk,cloud
859,regel,rule
860,strijd,battle
861,boord,board
862,privaat,private
863,wond,wound
865,ergens,somewhere
866,voort,forth
867,smaak,taste
868,repareren,to fix
869,gemakkelijk,easily
870,hoe dan ook,anyway
871,schepsel,creature
872,lengte,length
873,op te slaan,store
874,vers,fresh
875,wijn,wine
876,appartement,apartment
877,gelegenheid,occasion
878,beeld,image
879,systeem,system
880,rechter,judge
881,tong,tongue
882,pond,pound
883,kop,cup
884,maken,to create
885,vorm,shape
886,waard,worth
887,lied,song
888,produceren,to produce
889,vanavond,tonight
890,ziek,ill
891,sneeuw,snow
892,niveau,level
893,dwaas,fool
894,daarom,therefore
895,tellen,to count
896,ziek,sick
897,sociaal,social
898,morgen,tomorrow
899,detail-,detail
900,mening,opinion
901,shouders ophalen,to shrug
902,betrekken,to involve
903,reusachtig,huge
904,gieten,to pour
905,stoer,cool
906,borst,breast
907,vermoeien,to tire
908,licht,slightly
909,kamp,camp
910,voorbeeld,example
911,reis,trip
912,paar-,pair
913,verhaal,tale
914,flitsen,to flash
915,waarschijnlijk,likely
916,doorgaans,usually
917,onmogelijk,impossible
918,vreselijk,terrible
919,maatschappij,society
920,stelen,to steal
921,vrede,peace
922,bericht,message
923,slaapkamer,bedroom
924,affaire,affair
925,optreden,to occur
926,nodig hebben,to require
927,schoen,shoe
928,van plan zijn,to intend
929,warmte,heat
930,kleur,color
931,leger,army
932,vreemdeling,stranger
933,druk,busy
934,grijs,gray
935,Duitse,German
936,bevatten,to contain
937,geel,yellow
938,kaart,card
939,scherp,sharp
940,behandelen,to treat
941,kalmte,calm
942,bal,ball
943,bodem,bottom
944,Gevaar,danger
945,geheel,entire
946,om vast te stellen,to determine
947,slechts,merely
948,vis,fish
949,hoofd,main
950,verven,to paint
951,casten,to cast
952,schrijver,author
953,lawaai,noise
954,boosheid,anger
955,verschil,difference
956,gast,guest
957,verdenken,to suspect
958,schok,shock
959,schot,shot
960,chef,chief
961,schijnen,to shine
962,Wassen,to wash
963,ademen,to breathe
964,regering,government
965,vermijden,to avoid
966,stadium,stage
967,vijftig,fifty
968,gat,hole
969,auteur,writer
970,uitbarsten,to burst
971,keuze,choice
972,zilver,silver
973,uitroepen,to exclaim
974,klein,tiny
975,gras,grass
976,leiden,to direct
977,verschijning,appearance
978,Amerika,America
979,prachtig,wonderful
980,inpakken,to pack
981,ziekenhuis,hospital
982,de hare,hers
983,voorzichtig,gently
984,zacht,softly
985,spoor,track
986,bewijsmateriaal,evidence
987,slecht,evil
988,onthullen,to reveal
989,bestaan,to exist
990,slepen,to drag
991,bidden,to pray
992,kennis,knowledge
993,uitdrukken,to express
994,terzijde,aside
995,vertrouwd,familiar
996,periode,period
997,blok,block
998,duidelijk,clearly
999,morren,to murmur
1000,stroom,stream
1001,vegen,to sweep
1002,omstandigheid,circumstance
1003,aandringen,to insist
1004,kwartaal,quarter
1005,hersenen,brain
1006,vlakte,plain
1007,vlak,flat
1008,kwestie,issue
1009,baseren,base
1010,genot,delight
1011,eiland,island
1012,Parijs,Paris
1013,kans,opportunity
1014,fabriek,plant
1015,vreugde,joy
1016,verschuiven,to shift
1017,verhouding,relationship
1018,mes,knife
1019,poetsen,to brush
1020,gering,slight
1021,vloek,damn
1022,beven,to tremble
1023,te bespreken,to discuss
1024,divers,various
1025,waarde,value
1026,seks,sex
1027,lokaal,local
1028,jeugd,youth
1029,praktijk,practice
1030,nat,wet
1031,ontbijt,breakfast
1032,gezagvoerder,captain
1033,vernietigen,to destroy
1034,reis,journey
1035,zondag,Sunday
1036,hoe dan ook,somehow
1037,fronsen,to frown
1038,inpakken,to wrap
1039,kat,cat
1040,gebonden,bound
1041,gebaar,gesture
1042,priester,priest
1043,Frankrijk,France
1044,ermee omgaan,to handle
1045,hemel,heaven
1046,getuige,witness
1047,verhogen,to increase
1048,voorzien zijn van,feature
1049,om te schoppen,to kick
1050,aannemen,to assume
1051,in slaap,asleep
1052,herinneren,to recall
1053,wedstrijd,match
1054,strak,tight
1055,Bos,forest
1056,beschermen,to protect
1057,gebrek,lack
1058,metgezel,companion
1059,geheel,entirely
1060,besluit,decision
1061,opnemen,to include
1062,spoor,trail
1063,uitnodigen,to invite
1064,emotie,emotion
1065,bot,bone
1066,uur,o’clock
1067,omgeven,to surround
1068,laatste,final
1069,oppervlakte,surface
1070,dozijn,dozen
1071,verklaren,to declare
1072,wapen,weapon
1073,centrum,center
1074,Welkom,welcome
1075,misdrijf,crime
1076,gewicht,weight
1077,minnaar,lover
1078,zwaard,sword
1079,lijst,list
1080,datum,date
1081,bijwonen,to attend
1082,toespraak,speech
1083,Christelijk,Christian
1084,verzekeren,to assure
1085,snappen,to snap
1086,beweging,motion
1087,passie,passion
1088,om verder te gaan,to advance
1089,invloed,influence
1090,tenzij,unless
1091,snelheid,speed
1092,mensen,folk
1093,maan,moon
1094,voeden,to feed
1095,politiek,political
1096,smeken,to beg
1097,overeenstemmen,to accord
1098,veertig,forty
1099,negen,nine
1100,loslaten,to release
1101,noorden,north
1102,oom,uncle
1103,oude,ancient
1104,verdrietig,sad
1105,Brits,British
1106,flauw,faint
1107,dubbele,double
1108,graf,grave
1109,ogenblik,instant
1110,bord,plate
1111,begraven,to bury
1112,volmaakt,perfectly
1113,heerlijk,lovely
1114,de jouwe,yours
1115,ijs-,ice
1116,scheiden,to separate
1117,bijten,to bite
1118,dak,roof
1119,zweren,to swear
1120,duim,inch
1121,bestuurder,driver
1122,spiegel,mirror
1123,maag,stomach
1124,wezen,being
1125,verkrijgen,to gain
1126,negeren,to ignore
1127,oke,okay
1128,reageren,to respond
1129,niemand,nobody
1130,tegenover,opposite
1131,lastig vallen,to bother
1132,regelen,to arrange
1133,bagageruimte,boot
1134,stof,dust
1135,wrijven,to rub
1136,direct,directly
1137,gloed,glow
1138,schreeuwen,to yell
1139,individu,individual
1140,verpleegster,nurse
1141,Mvr,Mrs
1142,visie,vision
1143,verspillen,to waste
1144,trots,proud
1145,boos,mad
1146,autoriteit,authority
1147,krant-,newspaper
1148,Kerstmis-,Christmas
1149,risico,risk
1150,vooral,particularly
1151,mate,degree
1152,voormalig,former
1153,iets,somewhat
1154,stijl,style
1155,iemand,somebody
1156,bezitten,to possess
1157,vrachtauto,truck
1158,interessant,interesting
1159,grap,joke
1160,te mompelen,to mutter
1161,eigendom,property
1162,kaal,bare
1163,vlees,flesh
1164,reliëf,relief
1165,twijfelen,to hesitate
1166,verlichten,to ease
1167,greep,grip
1168,springen,to leap
1169,levering,supply
1170,onderbreken,to interrupt
1171,maaltijd,meal
1172,neef,cousin
1173,werkwijze,process
1174,vrouw,female
1175,verlies,loss
1176,sigaret,cigarette
1177,ijzer,iron
1178,overtuigen,to convince
1179,deel,apart
1180,zin in hebben,fancy
1181,rij,row
1182,tempo,pace
1183,tweemaal,twice
1184,vloeien,to flow
1185,geduldig,patient
1186,doen alsof,to pretend
1187,grootte,size
1188,nauwelijks,barely
1189,huwelijk,wedding
1190,aankondigen,to announce
1191,gelach,laughter
1192,vel,sheet
1193,ontwerp,design
1194,koken,to cook
1195,uw,thy
1196,wiel,wheel
1197,succes,success
1198,gevaarlijk,dangerous
1199,zuiden,south
1200,wakker,awake
1201,los,loose
1202,voorhoofd,forehead
1203,breed,broad
1204,woestijn,desert
1205,roeren,to stir
1206,beroerte,stroke
1207,vleugel,wing
1208,waarschuwen,to warn
1209,vouwen,to fold
1210,stapel,pile
1211,vlam,flame
1212,Ingang,entrance
1213,heer,lord
1214,zeilen,to sail
1215,introduceren,to introduce
1216,glad,smooth
1217,krachtig,powerful
1218,kosten,cost
1219,miljoen,million
1220,geloof,faith
1221,slikken,to swallow
1222,brug,bridge
1223,maatregel,measure
1224,Blind,blind
1225,iedereen,everybody
1226,fortuin,fortune
1227,ten gevolge,due
1228,teder,gentle
1229,onderzoeken,to examine
1230,gek,crazy
1231,pret,fun
1232,trots,pride
1233,mannetje,male
1234,deelnemen,to engage
1235,montuur,frame
1236,realiteit,reality
1237,gepast,proper
1238,reflecteren,to reflect
1239,te dwalen,to wander
1240,te representeren,to represent
1241,weer,weather
1242,bevredigen,to satisfy
1243,moeilijkheid,difficulty
1244,zwak,weak
1245,betekenis,meaning
1246,vlucht,flight
1247,aangenaam,pleasant
1248,dek,deck
1249,voorzichtig,careful
1250,plein,square
1251,excuus,excuse
1252,firma,firm
1253,tak,branch
1254,vegen,to wipe
1255,prijs,price
1256,origineel,original
1257,twaalf,twelve
1258,advocaat,lawyer
1259,spoor,trace
1260,gebed,prayer
1261,iemand,anybody
1262,eer,honor
1263,klok,bell
1264,Christus,Christ
1265,energie,energy
1266,mogelijk,possibly
1267,gewoonte,habit
1268,gewillig,willing
1269,kwaliteit,quality
1270,gooien,to toss
1271,fout,fault
1272,verlagen,to lower
1273,zeker,surely
1274,blijkbaar,apparently
1275,ruzie maken,to argue
1276,begin,beginning
1277,knap,handsome
1278,diep,deeply
1279,beschuldigen,to blame
1280,protesteren,to protest
1281,gevangene,prisoner
1282,aangeven,to indicate
1283,u,thee
1284,draaien,to twist
1285,jas,jacket
1286,held,hero
1287,geluk,luck
1288,inhoud,content
1289,informeren,to inform
1290,voorkomen,to prevent
1291,geluk,happiness
1292,werkelijk,truly
1293,ontwikkelen,to develop
1294,kin,chin
1295,te gronde richten,to ruin
1296,breken,to crack
1297,leider,leader
1298,gisteren,yesterday
1299,vijftien,fifteen
1300,houten,wooden
1301,afleveren,to deliver
1302,middel,agent
1303,materiaal,material
1304,antwoord,response
1305,dom,stupid
1306,mode,fashion
1307,taak,task
1308,nieuwsgierig,curious
1309,slagen,to succeed
1310,wijs,wise
1312,telefoon,telephone
1313,ontkennen,to deny
1314,graven,to dig
1315,wet,law
1316,aandringen,to urge
1317,voor altijd,forever
1318,gemeenschap,community
1319,fysiek,physical
1320,bron,source
1321,leraar,teacher
1322,slaaf,slave
1323,dik,fat
1324,voorkeur hebben voor,to prefer
1325,leger,military
1326,brood,bread
1327,verwijzen,to refer
1328,cabine,cabin
1329,geheel,fully
1330,niet in staat,unable
1331,vergezellen,to accompany
1332,verder gaan,to proceed
1333,uitwisselen,to exchange
1334,massa-,mass
1335,verzoek,request
1336,bewerkstelligen,to establish
1337,vreemd,odd
1338,kust-,shore
1339,gidsen,to guide
1340,gouden,golden
1341,onszelf,ourselves
1342,louter,mere
1343,relatie,relation
1344,bedreigen,to threaten
1345,tarief,rate
1346,vervloeken,to curse
1347,bier,beer
1348,afgelegen,distant
1349,voor de hand liggend,obvious
1350,commentaar,comment
1351,edele,noble
1352,voordeel,advantage
1353,wrok,spite
1354,het dossier,file
1355,mogelijkheid,possibility
1356,uitvoeren,to conduct
1357,vervagen,to fade
1358,concentreren,to focus
1359,scherm,screen
1360,bestaan,existence
1361,opsteigen,to mount
1362,zand,sand
1363,slachtoffer,victim
1364,woede,rage
1365,teller,counter
1366,laatstgenoemde,latter
1367,bang maken,to scare
1368,ongeval,accident
1369,indruk,impression
1370,te vergelijken,to peer
1371,homoseksueel,gay
1372,krullen,to curl
1373,verzamelen,to collect
1374,marcheren,to march
1375,weergeven,to display
1376,strand,beach
1377,tante,aunt
1378,deuropening,doorway
1379,comfortabel,comfortable
1380,afdrijven,to drift
1381,jammer,pity
1382,opwinding,excitement
1383,arresteren,to arrest
1384,duidelijk,obviously
1385,anders-,otherwise
1386,handel,trade
1387,cel,cell
1388,Gezondheid,health
1389,westen,west
1390,leer,leather
1391,ruw,rough
1392,hijgen,to gasp
1393,presteren,to perform
1394,roze,pink
1395,zin,sentence
1396,humeur,mood
1397,artikel,article
1398,keten,chain
1399,vervoer,carriage
1400,stamelen,to utter
1401,schaduw,shade
1402,vlak,plane
1403,vergeven,to forgive
1404,gedicht,poem
1405,touw,rope
1406,aanleg,instance
1407,zuiver,pure
1408,Laden,to load
1409,grijpen,to seize
1410,achterkant,rear
1411,eerlijk,honest
1412,groot,major
1413,soortgelijk,similar
1414,activiteit,activity
1415,echoën,to echo
1416,bezetten,to occupy
1417,beroemd,famous
1418,overleven,to survive
1419,angstig,anxious
1420,grappig,funny
1421,duivel,devil
1422,vertrouwen,confidence
1423,betreuren,to regret
1424,begaan,to commit
1425,zweet,sweat
1426,Russisch,Russian
1427,reeks,range
